customer_id,customer_name,city,region
CUST0166,Kathleen Collins,Arlington,Texas
CUST0167,Patricia James,Garland,Texas
CUST0168,Timothy Morris,Plano,Texas
CUST0169,Elizabeth Howard,Long Beach,California
CUST0170,Samuel Perry,Colorado Springs,Colorado
CUST0171,Betty Martinez,Denver,Colorado
CUST0172,Jerry Roberts,Mesa,Arizona
CUST0173,Brandon Lewis,Portland,Oregon
CUST0174,Emma Long,San Bernardino,California
CUST0175,Margaret Campbell,Irvine,California
CUST0176,Patrick Castillo,Nashville,Tennessee
CUST0177,Mary Young,San Diego,California
CUST0178,Gregory Richardson,Modesto,California
CUST0179,Samuel Nguyen,Virginia Beach,Virginia
CUST0180,Frank Baker,Sacramento,California
CUST0181,James Lopez,Riverside,California
CUST0182,Edward Powell,St. Petersburg,Florida
CUST0183,Nicole Powell,St. Louis,Missouri
CUST0184,Janet Perez,Pittsburgh,Pennsylvania
CUST0185,Helen Lee,St. Paul,Minnesota
CUST0186,Katherine Young,Jacksonville,Florida
CUST0187,Robert Mendoza,Fort Worth,Texas
CUST0188,Emily Lewis,Irvine,California
CUST0189,Alexander Brown,Seattle,Washington
CUST0190,Betty Myers,Columbus,Ohio
CUST0191,Margaret Robinson,Lubbock,Texas
CUST0192,Jonathan Walker,Richmond,Virginia
CUST0193,Jerry Gonzalez,Modesto,California
CUST0194,Barbara Evans,Honolulu,Hawaii
CUST0195,Benjamin Powell,Anchorage,Alaska
CUST0196,Anna Thomas,Scottsdale,Arizona
CUST0197,Paul Baker,Aurora,Colorado
CUST0198,Rachel Castillo,Lincoln,Nebraska
CUST0199,Samuel Ramos,Washington,DC
CUST0200,Sarah Mendoza,Rochester,New York
CUST0201,Christopher Nguyen,Atlanta,Georgia
CUST0202,Laura James,Montgomery,Alabama
CUST0203,Sarah Kelly,Houston,Texas
CUST0204,David Jimenez,Stockton,California
CUST0205,John Martinez,Greensboro,North Carolina
CUST0206,Timothy James,St. Louis,Missouri
CUST0207,Rachel Evans,Toledo,Ohio
CUST0208,Richard Howard,Indianapolis,Indiana
CUST0209,Benjamin Cooper,Philadelphia,Pennsylvania
CUST0210,Jennifer Chavez,Philadelphia,Pennsylvania
CUST0211,Frank Perez,Phoenix,Arizona
CUST0212,Donna Collins,St. Louis,Missouri
CUST0213,Alexander Taylor,Anchorage,Alaska
CUST0214,Christopher Flores,Houston,Texas
CUST0215,Helen Ross,North Las Vegas,Nevada
CUST0216,Stephen Peterson,Lexington,Kentucky
CUST0217,Brandon Sanchez,San Francisco,California
CUST0218,Angela Rodriguez,Tacoma,Washington
CUST0219,Carol Edwards,Fresno,California
CUST0220,Nicholas Ramos,New York,New York
CUST0221,Sandra Sanchez,Spokane,Washington
CUST0222,Samantha Price,Chandler,Arizona
CUST0223,Amy Morris,Seattle,Washington
CUST0224,Steven Cooper,Rochester,New York
CUST0225,Ronald Lee,Chesapeake,Virginia
CUST0226,George Adams,Austin,Texas
CUST0227,Jerry Mitchell,Kansas City,Missouri
CUST0228,Laura Adams,Anchorage,Alaska
CUST0229,Paul Wilson,El Paso,Texas
CUST0230,Catherine Ramirez,Shreveport,Louisiana
CUST0231,Janet Rodriguez,Richmond,Virginia
CUST0232,Amanda Ortiz,Albuquerque,New Mexico
CUST0233,Larry Morris,New Orleans,Louisiana
CUST0234,Timothy Jenkins,Henderson,Nevada
CUST0235,Thomas Wood,Los Angeles,California
CUST0236,Karen James,Irving,Texas
CUST0237,Anthony Peterson,North Las Vegas,Nevada
CUST0238,Jessica Kelly,Honolulu,Hawaii
CUST0239,Amanda Kelly,Fresno,California
CUST0240,Patricia Campbell,Newark,New Jersey
CUST0241,Michelle Adams,Fort Wayne,Indiana
CUST0242,Kimberly Watson,San Antonio,Texas
CUST0243,Daniel Martinez,Jacksonville,Florida
CUST0244,Donna Green,Jacksonville,Florida
CUST0245,Paul Chavez,Riverside,California
CUST0246,Melissa Price,Las Vegas,Nevada
CUST0247,Nicole Ramirez,Birmingham,Alabama
CUST0248,Kenneth Gonzalez,Spokane,Washington
CUST0249,Samantha Green,Bakersfield,California
CUST0250,Larry Perez,Montgomery,Alabama
CUST0251,Catherine Martin,North Las Vegas,Nevada
CUST0252,Daniel Reed,Virginia Beach,Virginia
CUST0253,Michael Campbell,Aurora,Colorado
CUST0254,Heather Myers,Honolulu,Hawaii
CUST0255,Brenda James,San Jose,California
CUST0256,Frank Harris,Norfolk,Virginia
CUST0257,Thomas Ramos,Raleigh,North Carolina
CUST0258,Timothy Parker,Minneapolis,Minnesota
CUST0259,Michelle Nguyen,Dallas,Texas
CUST0260,Daniel Davis,Austin,Texas
CUST0261,Richard Thompson,Rochester,New York
CUST0262,Janet Gonzalez,Corpus Christi,Texas
CUST0263,Michelle Chavez,Indianapolis,Indiana
CUST0264,Margaret Howard,Omaha,Nebraska
CUST0265,Melissa Torres,Chicago,Illinois
CUST0266,Frank Patel,Louisville,Kentucky
CUST0267,Nicole Gutierrez,Aurora,Colorado
CUST0268,Steven Jackson,Henderson,Nevada
CUST0269,Stephanie Phillips,Birmingham,Alabama
CUST0270,Carol Sanchez,San Antonio,Texas
CUST0271,Nicole Roberts,Philadelphia,Pennsylvania
CUST0272,Larry Powell,Corpus Christi,Texas
CUST0273,Andrew Hughes,Long Beach,California
CUST0274,Patrick Turner,Shreveport,Louisiana
CUST0275,Nancy Mendoza,Des Moines,Iowa
CUST0276,Ryan Thompson,Denver,Colorado
CUST0277,Ryan Williams,Colorado Springs,Colorado
CUST0278,Sarah Brooks,Stockton,California
CUST0279,Dorothy Anderson,Chandler,Arizona
CUST0280,Larry Peterson,Fresno,California
CUST0281,Emma Wood,Long Beach,California
CUST0282,Stephen Jimenez,Shreveport,Louisiana
CUST0283,Catherine Collins,Phoenix,Arizona
CUST0284,Katherine Cook,Philadelphia,Pennsylvania
CUST0285,Brenda Morris,Houston,Texas
CUST0286,Betty Collins,Indianapolis,Indiana
CUST0287,Joshua Walker,Irvine,California
CUST0288,Christopher Rivera,Des Moines,Iowa
CUST0289,Andrew Jimenez,Charlotte,North Carolina
CUST0290,Justin Watson,Richmond,Virginia
CUST0291,John Perry,Omaha,Nebraska
CUST0292,Benjamin Nguyen,Milwaukee,Wisconsin
CUST0293,David Kelly,Durham,North Carolina
CUST0294,Melissa Hall,Lincoln,Nebraska
CUST0295,Ashley Walker,Phoenix,Arizona
CUST0296,Betty Williams,Houston,Texas
CUST0297,Brandon Peterson,Hialeah,Florida
CUST0298,Barbara Parker,Des Moines,Iowa
CUST0299,Patricia Powell,Des Moines,Iowa
CUST0300,Catherine Hall,Hialeah,Florida
CUST0301,Raymond Alvarez,North Las Vegas,Nevada
CUST0302,Jonathan Rogers,St. Louis,Missouri
CUST0303,Brian Taylor,Winston-Salem,North Carolina
CUST0304,Richard Myers,Chandler,Arizona
CUST0305,James Green,Modesto,California
CUST0306,Cynthia Reed,Chicago,Illinois
CUST0307,Richard Murphy,North Las Vegas,Nevada
CUST0308,Daniel Murphy,San Antonio,Texas
CUST0309,Joshua Allen,Bakersfield,California
CUST0310,Dennis Flores,Rochester,New York
CUST0311,Deborah Flores,Anaheim,California
CUST0312,Maria Watson,Dallas,Texas
CUST0313,John Jones,Raleigh,North Carolina
CUST0314,Ryan Miller,Montgomery,Alabama
CUST0315,Richard Johnson,Fresno,California
CUST0316,Samuel Edwards,Newark,New Jersey
CUST0317,Edward Nguyen,Bakersfield,California
CUST0318,Charles Chavez,Sacramento,California
CUST0319,Amy Cooper,Henderson,Nevada
CUST0320,Amanda Bennett,Lexington,Kentucky
CUST0321,Andrew Edwards,Irvine,California
CUST0322,Debra Hall,San Bernardino,California
CUST0323,Mark White,Irvine,California
CUST0324,Ronald Sanchez,Anchorage,Alaska
CUST0325,William Mendoza,Sacramento,California
CUST0326,Jason Chavez,Arlington,Texas
CUST0327,Mary Williams,Minneapolis,Minnesota
CUST0328,Katherine White,St. Louis,Missouri
CUST0329,Rebecca Torres,Portland,Oregon
CUST0330,Jeffrey Myers,Chesapeake,Virginia
CUST0331,Dorothy Ruiz,Fort Worth,Texas
CUST0332,Betty Smith,Austin,Texas
CUST0333,Jessica Jones,Aurora,Illinois
CUST0334,Jerry Long,Birmingham,Alabama
CUST0335,Jonathan Martin,Anaheim,California
CUST0336,Angela Jackson,Indianapolis,Indiana
CUST0337,Anthony Anderson,Fort Worth,Texas
CUST0338,Donna Roberts,Chicago,Illinois
CUST0339,Scott Ramirez,Plano,Texas
CUST0340,Melissa Foster,Spokane,Washington
CUST0341,Edward Campbell,Los Angeles,California
CUST0342,Jonathan Nguyen,Jersey City,New Jersey
CUST0343,Nicholas Murphy,San Antonio,Texas
CUST0344,Jerry Edwards,Anaheim,California
CUST0345,George Parker,Baton Rouge,Louisiana
CUST0346,Michelle King,Garland,Texas
CUST0347,Karen Brooks,Oklahoma City,Oklahoma
CUST0348,Jason Foster,Baltimore,Maryland
CUST0349,Kenneth Powell,Omaha,Nebraska
CUST0350,Donna Edwards,Minneapolis,Minnesota
